DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,PM2.5 Promedio ponderado  de 12 hrs.,NO2 Horario
JUN,7,1,24.49,44.10,34.89,0.83,NA,NA,5.80
JUN,7,2,27.26,37.89,26.20,0.82,NA,NA,1.87
JUN,7,3,21.64,31.84,23.99,0.76,NA,NA,3.65
JUN,7,4,10.01,25.46,24.80,0.74,NA,NA,4.61
JUN,7,5,19.73,22.98,24.90,0.72,NA,NA,4.41
JUN,7,6,27.21,23.58,24.90,0.70,NA,NA,3.75
JUN,7,7,26.56,23.96,24.47,0.70,NA,NA,5.00
JUN,7,8,19.00,21.99,23.40,0.71,NA,NA,5.92
JUN,7,9,16.96,21.05,21.28,0.72,NA,NA,5.80
JUN,7,10,22.61,20.47,20.07,0.74,NA,NA,6.80
JUN,7,11,28.85,21.37,19.37,0.76,34.79,NA,6.10
JUN,7,12,42.68,25.45,18.53,0.78,22.98,NA,5.28
JUN,7,13,49.42,29.16,17.59,0.79,22.06,NA,5.27
JUN,7,14,55.92,32.75,16.99,0.80,21.79,26,9.21
JUN,7,15,58.03,36.68,16.50,0.80,16.69,22,9.24
JUN,7,16,58.25,41.59,16.19,0.79,16.27,17,8.96
JUN,7,17,64.96,47.59,16.06,0.77,15.72,17,8.32
JUN,7,18,66.42,53.07,16.01,0.75,19.93,18,3.94
JUN,7,19,60.50,57.02,14.57,0.73,18.76,16,9.26
JUN,7,20,56.29,58.72,13.88,0.72,31.84,19,10.85
JUN,7,21,47.40,58.47,13.55,0.71,31.51,17,5.87
JUN,7,22,38.99,56.36,13.49,0.70,27.86,15,8.47
JUN,7,23,34.72,53.44,13.34,0.69,22.12,15,9.71
JUN,8,0,37.78,50.88,13.28,0.67,18.68,15,7.63
JUN,8,1,37.46,47.45,12.50,0.66,15.41,14,3.22
JUN,8,2,37.63,43.85,12.30,0.64,13.63,15,6.87
JUN,8,3,32.87,40.39,11.22,0.63,13.48,14,3.75
JUN,8,4,33.15,37.50,10.18,0.61,12.59,12,8.79
JUN,8,5,32.90,35.69,9.97,0.59,17.34,19,8.36
JUN,8,6,23.02,33.69,9.88,0.59,15.56,17,12.59
JUN,8,7,22.85,32.21,9.84,0.61,14.71,14,15.92
JUN,8,8,16.69,29.57,9.79,0.66,20.23,12,14.26
JUN,8,9,23.04,27.77,9.75,0.69,24.63,15,10.19
JUN,8,10,30.56,26.88,9.71,0.73,23.68,19,14.49
JUN,8,11,36.66,27.36,9.69,0.77,28.19,21,9.17
JUN,8,12,43.12,28.60,9.67,0.79,61.30,21,13.23
JUN,8,13,55.20,31.39,9.66,0.81,40.54,21,10.26
JUN,8,14,59.25,35.92,9.65,0.82,29.73,20,10.54
JUN,8,15,65.12,41.21,9.64,0.82,24.95,20,6.41
JUN,8,16,68.68,47.70,9.64,0.79,26.17,19,6.61
JUN,8,17,70.10,53.59,9.63,0.77,37.46,17,10.46
JUN,8,18,61.89,57.50,9.63,0.76,34.85,18,13.29
JUN,8,19,52.85,59.53,9.64,0.75,44.50,16,6.25
JUN,8,20,45.85,59.87,9.63,0.74,41.58,16,10.23
JUN,8,21,43.11,58.36,9.61,0.73,33.04,16,5.51
JUN,8,22,40.42,56.00,10.04,0.81,34.75,15,7.84
JUN,8,23,25.28,51.02,10.22,0.81,37.84,NA,7.67
JUN,9,0,31.18,46.34,10.29,0.80,25.63,NA,8.55
JUN,9,1,24.14,40.59,10.38,0.82,22.70,NA,8.69
JUN,9,2,21.48,35.54,10.51,0.82,19.44,NA,7.88
JUN,9,3,24.66,32.01,10.63,0.82,14.73,NA,7.11
JUN,9,4,28.02,29.79,10.68,0.80,14.29,NA,7.20
JUN,9,5,25.89,27.63,10.80,0.79,14.16,NA,8.20
JUN,9,6,21.61,25.28,10.97,0.71,14.32,NA,12.24
JUN,9,7,17.36,24.29,11.10,0.73,13.15,NA,16.93
JUN,9,8,12.16,21.91,11.22,0.76,15.31,NA,14.95
JUN,9,9,11.92,20.39,11.86,0.78,14.73,NA,10.98
JUN,9,10,36.90,22.32,12.26,0.77,12.94,NA,6.50
JUN,9,11,55.50,26.17,12.42,0.79,16.54,NA,9.77
JUN,9,12,56.92,29.78,12.53,0.80,53.95,11,5.31
