DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario (ppm),O3 Promedio de 8 hrs.  (ppm),SO2 promedio de 24 hrs. (ppm),CO Promedio de 8 hrs. (ppm),PM10 Promedio ponderado  de 12 hrs. (µg/m³),PM2.5 Promedio ponderado  de 12 hrs. (µg/m³),NO2 Horario (ppm)
SEP,2,2,0.0269,0.0311,0.0015,NA,12,12,NA
SEP,2,3,0.0232,0.0274,0.0015,NA,37,11,NA
SEP,2,4,0.0237,0.026,0.0015,NA,76,10,NA
SEP,2,5,0.024,0.0255,0.0014,NA,41,13,NA
SEP,2,6,0.0191,0.0245,0.0014,NA,23,15,NA
SEP,2,7,0.0186,0.0236,0.0014,NA,17,11,NA
SEP,2,8,0.0209,0.023,0.0014,NA,13,9,NA
SEP,2,9,0.0226,0.0224,0.0014,NA,7,8,0.0168
SEP,2,10,0.0289,0.0226,0.0014,NA,6,8,0.0119
SEP,2,11,0.0364,0.0243,0.0014,0.371,11,8,0.0119
SEP,2,12,0.0465,0.0271,0.0014,0.367,14,14,0.0109
SEP,2,13,0.0599,0.0316,0.0009,0.373,18,14,0.0126
SEP,2,14,0.0541,0.036,0.0008,0.39,21,19,0.0112
SEP,2,15,0.0567,0.0407,0.0008,0.392,20,16,0.0099
SEP,2,16,0.0529,0.0448,0.0008,0.384,22,14,0.0118
SEP,2,17,0.0529,0.0485,0.0008,0.362,23,15,0.0119
SEP,2,18,0.0486,0.051,0.0007,0.371,26,18,0.0153
SEP,2,19,0.0425,0.0518,0.0007,0.381,29,16,0.0186
SEP,2,20,0.032,0.05,0.0008,0.543,32,14,0.0279
SEP,2,21,0.018,0.0447,0.0009,0.728,33,17,0.0367
SEP,2,22,0.0161,0.04,0.0009,0.732,33,20,0.031
SEP,2,23,0.0184,0.0352,0.0011,0.721,30,22,0.0254
SEP,3,0,0.0192,0.031,0.0012,0.705,36,24,0.0238
SEP,3,1,0.0206,0.0269,0.0013,0.684,35,23,NA
SEP,3,2,0.0172,0.023,0.0028,0.718,36,21,0.0177
SEP,3,3,0.0232,0.0206,0.0065,0.759,31,22,NA
SEP,3,4,0.0271,0.02,0.007,NA,27,19,NA
SEP,3,5,0.0218,0.0205,0.0072,NA,25,22,NA
SEP,3,6,0.0136,0.0201,0.0075,NA,26,19,0.0178
SEP,3,7,0.0086,0.0189,0.0081,NA,37,18,0.022
SEP,3,8,0.0151,0.0184,0.0083,NA,37,23,0.0156
SEP,3,9,0.0198,0.0183,0.0107,NA,40,22,0.0167
SEP,3,10,0.0334,0.0203,0.0146,NA,47,29,0.0088
SEP,3,11,0.0415,0.0226,0.0167,0.398,44,36,0.0061
SEP,3,12,0.0454,0.0249,0.0184,0.386,35,30,0.0059
SEP,3,13,0.0522,0.0287,0.0193,0.382,29,28,0.0047
SEP,3,14,0.053,0.0336,0.0205,0.388,23,22,0.0051
SEP,3,15,0.0513,0.039,0.0217,0.369,20,18,0.0044
SEP,3,16,0.0528,0.0437,0.0232,0.357,19,17,0.0066
SEP,3,17,0.0493,0.0474,0.0241,NA,20,20,0.0078
SEP,3,18,0.0499,0.0494,0.0255,NA,29,23,0.0087
SEP,3,19,0.0436,0.0497,0.0285,NA,32,23,0.0079
SEP,3,20,0.0318,0.048,0.0289,NA,30,24,NA
SEP,3,21,0.0287,0.045,0.0288,NA,28,20,NA
SEP,3,22,0.0264,0.0417,0.0294,NA,27,18,0.0071
SEP,3,23,0.0149,0.0372,0.0371,NA,33,17,0.0179
SEP,4,0,0.0125,0.0322,0.0429,NA,44,27,0.0205
SEP,4,1,0.0127,0.0276,0.0477,NA,53,46,0.021
SEP,4,2,0.0184,0.0236,0.0499,NA,43,40,NA
SEP,4,3,0.0242,0.0212,0.0465,NA,31,28,NA
SEP,4,4,0.0148,0.0191,0.0464,NA,26,21,NA
SEP,4,5,0.0157,0.0175,0.0465,NA,26,21,0.011
SEP,4,6,0.0144,0.0159,0.0475,NA,29,21,0.013
SEP,4,7,0.013,0.0157,0.0519,NA,43,23,0.0162
SEP,4,8,0.0155,0.0161,0.0557,NA,44,23,0.0136
SEP,4,9,0.0243,0.0175,0.0567,NA,39,38,0.0061
SEP,4,10,0.0318,0.0192,0.0544,NA,33,28,0.003
SEP,4,11,0.0359,0.0207,0.0528,NA,26,21,0.0031
SEP,4,12,0.0378,0.0236,0.0515,NA,19,16,0.0033
SEP,4,13,0.0389,0.0265,0.052,NA,20,13,0.0043
SEP,4,14,0.0388,0.0295,0.0528,NA,26,16,0.0069
SEP,4,15,0.0408,0.033,0.0524,NA,25,19,0.0041
SEP,4,16,0.0393,0.0359,0.0524,NA,25,16,0.0063
SEP,4,17,0.0346,0.0372,0.0517,NA,26,17,0.0041
SEP,4,18,0.0224,0.0361,0.0513,NA,36,19,0.0073
SEP,4,19,0.0271,0.0349,0.0483,NA,28,24,0.0042
SEP,4,20,0.0278,0.0337,0.048,NA,17,16,0.0039
SEP,4,21,0.0289,0.0325,0.0479,NA,11,11,NA
