DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
MAYO,10,5,0.0249,0.0286,0.0081,1.305,23
MAYO,10,6,0.0170,0.0264,0.0082,1.310,22
MAYO,10,7,0.0101,0.0230,0.0082,1.350,25
MAYO,10,8,0.0149,0.0206,0.0083,1.374,31
MAYO,10,9,0.0266,0.0204,0.0083,1.391,32
MAYO,10,10,0.0350,0.0217,0.0084,1.406,34
MAYO,10,11,0.0436,0.0243,0.0088,1.414,36
MAYO,10,12,0.0524,0.0280,0.0096,1.422,42
MAYO,10,13,0.0555,0.0319,0.0101,1.431,40
MAYO,10,14,0.0570,0.0369,0.0103,1.428,43
MAYO,10,15,0.0595,0.0431,0.0105,1.396,43
MAYO,10,16,0.0603,0.0487,0.0105,1.375,37
MAYO,10,17,0.0599,0.0529,0.0106,1.364,34
MAYO,10,18,0.0424,0.0538,0.0106,1.353,51
MAYO,10,19,0.0302,0.0521,0.0106,1.361,50
MAYO,10,20,0.0315,0.0495,0.0106,1.362,40
MAYO,10,21,0.0300,0.0463,0.0104,1.389,36
MAYO,10,22,0.0325,0.0433,0.0103,1.410,36
MAYO,10,23,0.0291,0.0395,0.0103,1.419,35
MAYO,11,0,0.0266,0.0353,0.0103,1.426,36
MAYO,11,1,0.0207,0.0304,0.0103,1.430,31
MAYO,11,2,0.0220,0.0278,0.0104,1.426,30
MAYO,11,3,0.0232,0.0270,0.0103,1.411,29
MAYO,11,4,0.0173,0.0252,0.0102,1.402,27
MAYO,11,5,0.0173,0.0236,0.0101,1.370,23
MAYO,11,6,0.0170,0.0217,0.0100,1.348,24
MAYO,11,7,0.0093,0.0192,0.0100,1.358,28
MAYO,11,8,0.0103,0.0171,0.0100,1.381,39
MAYO,11,9,0.0238,0.0175,0.0100,1.384,37
MAYO,11,10,0.0306,0.0186,0.0100,1.395,33
MAYO,11,11,0.0402,0.0207,0.0097,1.407,36
MAYO,11,12,0.0526,0.0251,0.0089,1.418,38
MAYO,11,13,0.0597,0.0304,0.0086,1.431,37
MAYO,11,14,0.0663,0.0366,0.0084,1.433,38
MAYO,11,15,0.0569,0.0426,0.0084,1.419,44
MAYO,11,16,0.0377,0.0460,0.0084,1.398,42
MAYO,11,17,0.0406,0.0481,0.0084,1.405,34
MAYO,11,18,0.0421,0.0495,0.0084,1.419,35
MAYO,11,19,0.0433,0.0499,0.0084,1.432,38
MAYO,11,20,0.0348,0.0477,0.0085,1.458,40
MAYO,11,21,0.0230,0.0431,0.0085,1.493,42
MAYO,11,22,0.0098,0.0360,0.0086,1.505,44
MAYO,11,23,0.0204,0.0314,0.0086,1.500,40
MAYO,12,0,0.0207,0.0293,0.0086,1.494,38
MAYO,12,1,0.0296,0.0279,0.0086,1.478,36
MAYO,12,2,0.0328,0.0268,0.0086,1.449,28
MAYO,12,3,0.0323,0.0254,0.0085,1.419,26
MAYO,12,4,0.0300,0.0248,0.0084,1.380,24
MAYO,12,5,0.0261,0.0252,0.0084,1.332,24
MAYO,12,6,0.0148,0.0258,0.0084,1.319,24
MAYO,12,7,0.0139,0.0250,0.0084,1.323,29
MAYO,12,8,0.0164,0.0245,0.0084,1.332,32
MAYO,12,9,0.0248,0.0239,0.0084,1.349,33
MAYO,12,10,0.0327,0.0239,0.0085,1.371,32
MAYO,12,11,0.0440,0.0253,0.0088,1.393,36
MAYO,12,12,0.0479,0.0276,0.0088,1.403,34
MAYO,12,13,0.0502,0.0306,0.0089,1.412,32
