DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,NO2 Horario
AGO,15,17,54.90,42.17,4.20,2.56,22,NA
AGO,15,18,40.68,44.33,4.19,2.56,23,NA
AGO,15,19,31.05,44.19,4.37,2.55,27,NA
AGO,15,20,30.33,43.55,4.38,2.55,28,NA
AGO,15,21,21.03,41.13,4.26,2.55,22,NA
AGO,15,22,19.00,37.95,3.97,2.56,22,NA
AGO,15,23,17.84,33.90,3.70,2.57,19,NA
AGO,16,0,13.99,28.60,3.70,2.56,22,NA
AGO,16,1,10.11,23.00,3.68,2.57,30,NA
AGO,16,2,9.18,19.07,3.66,2.56,24,NA
AGO,16,3,7.33,16.10,3.62,2.55,18,NA
AGO,16,4,9.22,13.46,3.58,2.54,18,NA
AGO,16,5,5.18,11.48,3.56,2.54,20,NA
AGO,16,6,1.50,9.29,3.52,2.53,21,NA
AGO,16,7,NA,8.07,3.46,2.52,21,NA
AGO,16,8,NA,7.09,3.35,2.52,NA,NA
AGO,16,9,9.51,6.99,3.21,2.59,NA,NA
AGO,16,10,23.63,9.39,3.23,2.61,18,NA
AGO,16,11,31.29,13.39,3.18,2.63,18,NA
AGO,16,12,38.41,18.25,3.13,2.65,20,NA
AGO,16,13,47.01,25.22,3.13,2.66,20,NA
AGO,16,14,51.09,33.49,3.15,2.65,19,NA
AGO,16,15,49.48,35.77,3.13,2.63,16,NA
AGO,16,16,53.20,37.95,3.06,2.62,16,NA
AGO,16,17,53.00,43.39,3.02,2.56,15,NA
AGO,16,18,33.31,44.60,3.42,2.58,22,NA
AGO,16,19,29.68,44.40,3.27,2.58,24,NA
AGO,16,20,20.24,42.13,3.22,2.60,27,NA
AGO,16,21,19.39,38.67,3.23,2.63,33,NA
AGO,16,22,16.21,34.32,3.22,2.66,28,NA
AGO,16,23,16.31,30.17,3.14,2.67,22,NA
AGO,17,0,19.50,25.96,3.06,2.67,17,NA
AGO,17,1,14.92,21.20,3.02,2.68,12,NA
AGO,17,2,11.36,18.45,3.00,2.65,12,NA
AGO,17,3,5.47,15.43,3.00,2.63,14,NA
AGO,17,4,8.12,13.91,3.07,2.60,18,NA
AGO,17,5,7.86,12.47,3.13,2.55,18,NA
AGO,17,6,7.10,11.33,3.17,2.55,19,NA
AGO,17,7,1.89,9.53,3.18,2.56,20,NA
AGO,17,8,6.86,7.95,3.18,2.59,22,NA
AGO,17,9,9.43,7.26,3.19,2.61,23,NA
AGO,17,10,17.71,8.05,3.14,2.62,25,NA
AGO,17,11,25.84,10.60,3.16,2.63,22,NA
AGO,17,12,34.39,13.88,3.19,2.65,22,NA
AGO,17,13,40.74,18.00,3.18,2.66,25,NA
AGO,17,14,48.85,23.21,3.15,2.64,26,NA
AGO,17,15,54.16,29.75,3.14,2.62,28,NA
AGO,17,16,54.02,35.64,3.17,2.59,36,NA
AGO,17,17,43.85,39.95,3.20,2.57,35,NA
AGO,17,18,31.62,41.68,2.80,2.57,29,NA
AGO,17,19,21.49,41.14,3.08,2.61,25,NA
AGO,17,20,17.52,39.03,3.72,2.65,28,NA
AGO,17,21,23.91,36.93,3.74,2.66,24,NA
AGO,17,22,21.62,33.52,3.73,2.66,22,NA
AGO,17,23,23.23,29.66,3.69,2.65,21,NA
AGO,18,0,23.29,25.82,3.67,2.65,18,NA
AGO,18,1,23.01,23.21,3.64,2.65,14,NA
AGO,18,2,13.97,21.00,3.63,2.64,16,NA
