DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
ABRIL,7,5,0.023,NA,0.005,1.29,60,0.013
ABRIL,7,6,0.019,NA,0.005,1.15,66,0.021
ABRIL,7,7,0.018,0.023,0.006,1.11,73,0.025
ABRIL,7,8,0.013,0.023,0.008,1.10,88,0.028
ABRIL,7,9,0.022,0.024,0.010,1.09,122,0.018
ABRIL,7,10,0.046,0.024,0.010,1.07,185,0.008
ABRIL,7,11,0.044,0.026,0.011,1.08,171,0.014
ABRIL,7,12,0.057,0.030,0.011,1.09,157,0.011
ABRIL,7,13,0.060,0.035,0.012,1.10,149,0.011
ABRIL,7,14,0.066,0.041,0.012,1.08,122,0.009
ABRIL,7,15,0.067,0.047,0.012,1.07,118,0.010
ABRIL,7,16,0.069,0.054,0.013,1.06,99,0.010
ABRIL,7,17,0.070,0.060,0.013,1.06,87,0.011
ABRIL,7,18,0.049,0.060,0.014,1.08,85,0.018
ABRIL,7,19,0.040,0.060,0.014,1.09,96,0.011
ABRIL,7,20,0.035,0.057,0.015,1.09,100,0.010
ABRIL,7,21,0.032,0.053,0.015,1.08,77,0.013
ABRIL,7,22,0.031,0.049,0.016,1.07,75,0.013
ABRIL,7,23,0.028,0.044,0.018,1.06,77,0.019
ABRIL,8,0,0.029,0.039,0.019,1.05,133,0.017
ABRIL,8,1,0.033,0.034,0.019,1.04,160,0.011
ABRIL,8,2,0.038,0.033,0.020,1.01,107,0.004
ABRIL,8,3,0.038,0.033,0.020,0.99,73,0.004
ABRIL,8,4,0.039,0.033,0.019,0.98,53,0.006
ABRIL,8,5,0.037,0.034,0.019,0.97,45,0.007
ABRIL,8,6,0.038,0.035,0.019,0.97,42,0.009
ABRIL,8,7,0.030,0.035,0.018,1.00,44,0.015
ABRIL,8,8,0.028,0.035,0.016,1.03,49,0.017
ABRIL,8,9,0.038,0.036,0.014,1.04,49,0.009
ABRIL,8,10,0.044,0.036,0.014,1.06,50,0.009
ABRIL,8,11,0.051,0.038,0.013,1.07,50,0.007
ABRIL,8,12,0.055,0.040,0.013,1.09,49,0.008
ABRIL,8,13,0.061,0.043,0.013,1.10,49,0.007
ABRIL,8,14,0.068,0.047,0.013,1.10,48,0.006
ABRIL,8,15,0.060,0.051,0.012,1.08,47,0.006
ABRIL,8,16,0.058,0.054,0.012,1.06,44,0.006
ABRIL,8,17,0.059,0.057,0.012,1.06,40,0.007
ABRIL,8,18,0.063,0.059,0.011,1.07,43,0.009
ABRIL,8,19,0.051,0.059,0.011,1.06,55,0.007
ABRIL,8,20,0.044,0.058,0.010,1.06,66,0.008
ABRIL,8,21,0.038,0.055,0.010,1.08,55,0.012
