DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
ABRIL,8,10,0.032,0.006,0.004,1.39,50,21.41,3.320947,113.10,NA
ABRIL,8,11,0.044,0.007,0.003,1.34,42,24.12,2.290735,127.15,NA
ABRIL,8,12,0.051,0.008,0.003,1.31,38,25.88,2.137332,182.27,NA
ABRIL,8,13,0.055,0.007,0.002,1.29,38,27.39,2.12965,152.64,NA
ABRIL,8,14,0.062,0.014,0.003,1.35,35,27.99,2.512253,153.82,NA
ABRIL,8,15,0.066,0.017,0.004,1.43,43,28.96,2.672562,191.96,NA
ABRIL,8,16,0.058,0.007,0.003,1.30,36,29.88,2.273337,209.32,NA
ABRIL,8,17,0.058,0.006,0.003,1.27,56,29.81,2.693323,237.16,NA
ABRIL,8,18,0.059,0.007,0.004,1.29,37,29.36,2.469702,206.76,NA
ABRIL,8,19,0.052,0.006,0.006,1.40,48,27.04,2.37189,290.09,NA
ABRIL,8,20,0.034,0.006,0.013,1.90,50,25.34,1.187222,292.79,NA
ABRIL,8,21,0.032,0.006,0.011,1.64,78,24.78,2.441935,228.99,NA
ABRIL,8,22,0.034,0.006,0.005,1.31,72,22.43,2.979697,245.56,NA
ABRIL,8,23,0.033,0.022,0.005,1.48,55,21.43,2.348437,151.04,NA
ABRIL,9,0,0.049,0.008,0.005,1.40,47,20.61,1.907185,91.03,NA
ABRIL,9,1,0.028,0.006,0.005,1.29,52,18.65,2.28706,99.02,NA
ABRIL,9,2,0.041,0.008,0.004,1.30,35,17.63,1.585173,84.57,NA
ABRIL,9,3,0.021,0.006,0.004,1.26,35,16.01,1.224048,148.72,NA
ABRIL,9,4,0.020,0.006,0.003,1.27,31,14.97,1.008387,150.86,NA
ABRIL,9,5,0.017,0.006,0.004,1.30,20,13.97,1.58015,122.91,NA
ABRIL,9,6,0.016,0.006,0.004,1.30,27,13.23,1.736433,132.58,NA
ABRIL,9,7,0.012,0.006,0.006,1.34,29,12.63,1.34147,127.76,NA
ABRIL,9,8,0.014,0.006,0.006,1.39,40,15.86,2.123803,111.37,NA
ABRIL,9,9,0.023,0.006,0.004,1.38,41,19.40,2.577735,104.18,NA
ABRIL,9,10,0.033,0.007,0.003,1.38,40,22.00,2.518465,113.19,NA
ABRIL,9,11,0.047,0.024,0.004,1.70,57,24.56,1.76393,187.06,NA
