DATOS MÓVILES 2019_CRUZ ROJA,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
SEP,10,6,27.39,7.47,0.222,10.70,28,21
SEP,10,7,22.54,7.47,0.289,11.78,28,21
SEP,10,8,17.65,8.19,0.336,8.56,28,21
SEP,10,9,15.44,10.33,0.367,8.45,29,22
SEP,10,10,18.23,11.05,0.384,5.22,31,23
SEP,10,11,22.32,10.61,0.393,2.11,31,24
SEP,10,12,29.73,10.27,0.410,1.95,31,24
SEP,10,13,40.86,10.15,0.426,2.31,30,24
SEP,10,14,53.09,10.21,0.428,2.24,29,24
SEP,10,15,64.44,10.30,0.377,2.80,29,23
SEP,10,16,75.91,9.93,0.345,1.61,28,23
SEP,10,17,84.23,9.54,0.354,5.17,28,22
SEP,10,18,85.99,9.49,0.404,10.29,28,22
SEP,10,19,84.55,9.70,0.464,10.16,28,21
SEP,10,20,80.13,9.98,0.517,9.04,27,21
SEP,10,21,75.76,10.58,0.507,2.73,27,21
SEP,10,22,70.43,10.66,0.490,0.52,27,21
SEP,10,23,64.96,10.81,0.470,1.23,27,22
SEP,11,0,53.88,11.16,0.457,2.82,26,21
SEP,11,1,43.88,11.45,0.422,13.45,26,21
SEP,11,2,40.84,11.88,0.356,8.21,27,21
SEP,11,3,36.18,12.28,0.298,10.47,27,22
SEP,11,4,30.56,12.67,0.243,6.47,27,22
SEP,11,5,23.56,13.10,0.248,7.21,26,22
SEP,11,6,16.68,13.50,0.282,9.03,26,22
SEP,11,7,10.43,13.92,0.348,8.33,26,22
SEP,11,8,9.98,13.80,0.408,7.51,26,21
SEP,11,9,13.22,12.43,0.427,4.13,24,21
SEP,11,10,13.37,11.59,0.432,0.27,22,20
SEP,11,11,16.87,11.35,0.434,0.48,21,18
SEP,11,12,23.28,10.82,0.441,1.45,21,18
SEP,11,13,30.63,10.36,0.446,1.09,20,17
SEP,11,14,37.86,10.07,0.424,0.99,19,17
SEP,11,15,45.08,9.67,0.376,1.29,18,16
SEP,11,16,50.95,9.34,0.330,0.85,18,15
SEP,11,17,52.44,9.08,0.323,1.02,17,15
SEP,11,18,52.18,8.81,0.334,1.29,17,14
SEP,11,19,49.85,8.52,0.348,2.04,16,14
SEP,11,20,46.00,8.48,0.352,4.34,16,13
SEP,11,21,40.41,8.74,0.347,2.80,16,13
SEP,11,22,35.65,9.20,0.342,4.48,15,13
SEP,11,23,30.40,9.62,0.331,2.23,16,13
SEP,12,0,25.64,10.12,0.320,3.40,16,13
SEP,12,1,22.29,10.65,0.305,5.23,15,13
SEP,12,2,20.21,10.77,0.285,4.01,15,12
SEP,12,3,20.64,10.57,0.261,2.22,15,12
SEP,12,4,21.86,10.29,0.234,0.92,14,12
SEP,12,5,23.53,9.97,0.218,1.43,14,12
SEP,12,6,21.83,9.80,0.215,2.95,14,12
SEP,12,7,20.07,9.65,0.339,12.51,14,11
SEP,12,8,19.12,9.31,0.466,12.69,15,12
SEP,12,9,20.33,8.92,0.511,8.44,16,12
SEP,12,10,21.56,8.82,0.522,0.87,16,12
SEP,12,11,21.94,8.74,0.531,0.20,16,12
SEP,12,12,22.75,8.83,0.545,0.93,16,12
SEP,12,13,24.32,8.86,0.563,1.27,16,12
SEP,12,14,28.61,8.78,0.578,1.98,16,12
SEP,12,15,32.98,8.76,0.473,2.02,16,12
SEP,12,16,36.12,8.74,0.354,0.27,21,12
SEP,12,17,36.46,8.73,0.330,1.43,26,12
SEP,12,18,35.56,8.73,0.339,0.53,25,12
SEP,12,19,33.93,8.73,0.354,2.39,25,12
SEP,12,20,31.82,8.46,0.366,2.49,25,12
SEP,12,21,29.12,7.58,0.360,0.43,25,12
SEP,12,22,26.47,7.00,0.344,1.66,25,12
SEP,12,23,24.08,6.50,0.323,1.31,24,11
SEP,13,0,22.97,6.42,0.311,2.23,24,11
SEP,13,1,22.04,5.62,0.285,0.20,24,11
SEP,13,2,21.10,5.05,0.264,0.20,24,11
SEP,13,3,21.02,5.69,0.239,3.22,24,11
SEP,13,4,20.69,5.67,0.213,1.26,24,11
SEP,13,5,19.99,6.00,0.200,1.49,24,11
