DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2023,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³]
MARZO,12,10,0.03459235,0.024474265,0.001910664,0.519389625,39,25
MARZO,12,11,0.0417444,0.025575061,0.0018383,0.5440875,36,24
MARZO,12,12,0.052411333,0.02872159,0.001796582,0.553436875,31,22
MARZO,12,13,0.0603809,0.034109575,0.001769272,0.549694375,29,21
MARZO,12,14,0.064427483,0.040044965,0.001729674,0.540982875,29,21
MARZO,12,15,0.063800467,0.045795585,0.001697331,0.524776375,30,22
MARZO,12,16,0.064920617,0.052450804,0.001696816,0.494156375,29,21
MARZO,12,17,0.061933067,0.055526327,0.001700954,0.490443625,34,21
MARZO,12,18,0.054124083,0.057967794,0.00170873,0.486589,39,23
MARZO,12,19,0.043127967,0.05814074,0.001703712,0.480462,83,24
MARZO,12,20,0.0384056,0.056390023,0.001660695,0.483882875,125,26
MARZO,12,21,0.0447109,0.054431273,0.002339079,0.48665275,119,73
MARZO,12,22,0.052572333,0.052949379,0.002498329,0.4698605,288,99
MARZO,12,23,0.051139083,0.051366706,0.002473302,0.453828875,191,74
MARZO,13,0,0.043885167,0.048737275,0.006022567,0.4412015,107,50
MARZO,13,1,0.043933367,0.046487313,0.011679069,0.41164775,68,37
MARZO,13,2,0.039939083,0.044714188,0.0158458,0.4242725,45,27
MARZO,13,3,0.0307721,0.043169704,0.016562691,0.401172625,31,21
MARZO,13,4,0.018794683,0.04071834,0.016734702,0.382359125,25,17
MARZO,13,5,0.024072533,0.038138544,0.016772867,0.360800125,23,13
MARZO,13,6,0.02591455,0.034806321,0.016808567,0.365613625,22,16
MARZO,13,7,0.015661167,0.030371581,0.017067125,0.412935875,24,18
MARZO,13,8,0.007979,0.02588331,0.017284954,0.535882625,36,21
MARZO,13,9,0.013744507,0.022109703,0.017670766,0.65504925,50,23
MARZO,13,10,0.035576922,0.021564433,0.017769999,0.662135375,51,26
