DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
MZO,6,9,5.85,1.19,0.289,12,5.12,94.59,13.69,62.42,279.48
MZO,6,10,10.19,1.10,0.270,14,5.05,85.07,16.06,56.09,512.92
MZO,6,11,16.98,1.10,0.260,15,4.51,86.79,18.92,48.97,715.32
MZO,6,12,25.21,1.10,0.220,12,3.36,103.40,22.54,41.05,867.84
MZO,6,13,35.72,4.34,0.220,13,2.38,142.51,26.20,34.21,946.65
MZO,6,14,45.77,2.08,0.230,9,2.04,190.53,29.05,28.86,896.18
MZO,6,15,52.73,1.61,0.230,34,2.02,260.59,30.80,25.60,860.60
MZO,6,16,52.53,1.20,0.240,25,2.67,276.48,31.56,23.62,704.11
MZO,6,17,45.07,1.38,0.192,24,2.58,281.16,31.46,22.75,506.40
MZO,6,18,43.19,1.13,0.212,29,2.71,284.71,30.44,23.44,274.10
MZO,6,19,42.00,1.77,0.326,34,1.95,253.10,28.16,26.19,50.11
MZO,6,20,19.12,2.43,0.903,56,1.39,220.17,25.33,29.76,10.19
MZO,6,21,20.91,1.35,0.346,68,3.45,232.65,23.24,37.27,1.95
MZO,6,22,19.35,1.10,0.316,42,2.29,246.76,21.93,40.27,8.65
MZO,6,23,21.39,2.42,0.385,33,1.99,128.26,20.94,43.62,9.88
MZO,7,0,11.30,1.51,0.221,33,2.25,145.73,19.65,48.32,5.41
MZO,7,1,7.09,3.47,0.313,28,1.65,264.96,19.49,48.62,4.38
MZO,7,2,7.33,8.43,0.344,33,1.61,132.45,18.51,52.62,2.18
MZO,7,3,4.43,4.33,0.238,37,1.92,121.91,17.13,58.64,8.52
MZO,7,4,7.92,4.60,0.287,27,1.25,127.70,16.93,56.92,4.48
MZO,7,5,9.54,6.45,0.349,38,1.74,136.48,16.36,57.45,2.28
MZO,7,6,13.68,8.40,0.433,59,1.94,113.53,15.30,62.38,5.12
MZO,7,7,10.27,8.59,0.518,81,2.10,118.81,14.48,64.59,2.72
MZO,7,8,7.64,10.52,0.733,68,1.90,113.57,15.24,62.57,67.87
MZO,7,9,4.37,5.80,0.628,51,2.42,105.61,19.90,48.66,285.36
MZO,7,10,15.33,14.70,0.532,41,2.51,124.90,23.04,42.30,521.46
MZO,7,11,30.88,6.36,0.297,27,1.84,182.26,26.85,34.89,727.91
MZO,7,12,40.93,3.12,0.316,19,1.94,236.01,29.75,27.77,873.44
MZO,7,13,46.18,2.01,0.226,16,2.92,253.11,30.44,23.24,962.92
MZO,7,14,48.81,2.03,0.240,11,3.03,272.05,31.20,21.88,923.12
MZO,7,15,54.39,2.26,0.204,10,2.71,252.37,32.40,19.27,879.24
MZO,7,16,55.97,2.93,0.205,19,2.94,239.89,32.73,17.61,721.54
MZO,7,17,53.33,3.87,0.180,27,2.43,253.34,32.90,16.33,521.97
MZO,7,18,50.60,3.08,0.188,24,2.30,257.67,31.71,16.33,240.45
MZO,7,19,44.20,2.98,0.399,32,2.37,254.51,28.31,21.08,26.80
MZO,7,20,22.72,2.80,0.811,NA,1.83,241.46,26.06,24.07,11.29
MZO,7,21,14.90,3.39,0.755,NA,2.14,217.78,24.84,27.93,7.39
MZO,7,22,27.78,2.95,0.391,62,2.35,190.33,24.21,35.96,15.72
MZO,7,23,19.89,6.47,0.346,52,2.71,115.63,23.39,38.19,9.70
MZO,8,0,10.06,4.87,0.379,45,1.45,176.76,22.24,40.75,11.12
MZO,8,1,5.56,6.40,0.518,51,1.63,221.72,21.92,41.49,3.12
MZO,8,2,2.00,7.32,0.369,48,1.53,203.78,20.74,43.65,7.90
