DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2023,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
SEP,9,0,0.012,NA,0.011,1.271,53,0.007
SEP,9,1,0.015,NA,0.011,1.299,39,0.007
SEP,9,2,0.015,NA,0.011,1.323,33,0.007
SEP,9,3,NA,NA,0.011,1.226,31,0.006
SEP,9,4,0.016,NA,0.011,1,29,0.005
SEP,9,5,0.008,NA,0.012,0.918,30,0.004
SEP,9,6,0.007,NA,0.012,0.87,30,0.006
SEP,9,7,0.006,NA,0.012,0.85,25,0.008
SEP,9,8,0.009,NA,0.012,0.851,32,0.007
SEP,9,9,0.02,NA,0.012,0.845,34,0.006
SEP,9,10,0.031,NA,0.012,0.831,39,0.005
SEP,9,11,0.036,0.017,0.012,0.824,37,0.004
SEP,9,12,0.04,0.02,0.012,0.824,32,0.004
SEP,9,13,0.043,0.024,0.012,0.831,30,0.004
SEP,9,14,0.044,0.029,0.012,0.831,30,0.004
SEP,9,15,0.046,0.034,0.012,0.82,31,0.004
SEP,9,16,0.049,0.039,0.012,0.798,34,0.003
SEP,9,17,0.048,0.042,0.012,0.78,34,0.004
SEP,9,18,0.036,0.043,0.012,0.778,39,0.006
SEP,9,19,0.033,0.042,0.013,0.789,45,0.005
SEP,9,20,0.03,0.041,0.013,0.783,46,0.004
SEP,9,21,0.029,0.039,0.013,0.769,43,0.004
SEP,9,22,0.029,0.038,0.013,0.758,40,0.004
SEP,9,23,0.023,0.035,0.013,0.748,37,0.004
SEP,10,0,0.014,0.03,0.012,0.739,29,0.004
SEP,10,1,0.022,0.027,0.013,0.733,25,0.005
SEP,10,2,0.021,0.025,0.013,0.715,21,0.004
SEP,10,3,0.017,0.023,0.013,0.691,20,0.006
SEP,10,4,0.019,0.022,0.013,0.681,17,0.004
SEP,10,5,0.02,0.021,0.013,0.681,19,0.004
SEP,10,6,0.02,0.019,0.013,0.689,18,0.003
SEP,10,7,0.017,0.019,0.013,0.698,23,0.004
SEP,10,8,0.018,0.019,0.013,0.715,18,0.004
SEP,10,9,0.023,0.019,0.013,0.728,18,0.003
SEP,10,10,0.028,0.02,0.013,0.74,21,0.004
SEP,10,11,0.032,0.022,0.013,0.754,36,0.004
SEP,10,12,0.038,0.025,0.013,0.768,36,0.004
SEP,10,13,0.041,0.027,0.013,0.778,42,0.005
SEP,10,14,0.043,0.03,0.013,0.781,45,0.004
SEP,10,15,0.042,0.033,0.013,0.778,39,0.003
SEP,10,16,0.04,0.036,0.013,0.765,31,0.003
SEP,10,17,0.04,0.038,0.013,0.754,30,0.003
SEP,10,18,0.038,0.039,0.013,0.746,29,0.004
SEP,10,19,0.031,0.039,0.012,0.738,34,0.005
SEP,10,20,0.028,0.038,0.012,0.73,36,0.005
SEP,10,21,0.028,0.036,0.012,0.726,32,0.006
SEP,10,22,0.027,0.034,0.013,0.719,31,0.006
