DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
DICIEMBRE,9,18,0.054,0.012,0.008,NA,69,22.93,1.60,251.87,30.40,80.99
DICIEMBRE,9,19,0.027,0.006,0.023,NA,80,20.03,2.04,272.04,34.57,6.81
DICIEMBRE,9,20,0.009,0.006,0.031,NA,123,17.97,1.08,254.86,36.92,2.36
DICIEMBRE,9,21,0.011,0.011,0.029,NA,175,16.41,1.34,100.19,41.76,2.51
DICIEMBRE,9,22,0.017,0.008,0.011,NA,134,16.63,2.76,73.47,47.63,3.86
DICIEMBRE,9,23,0.015,0.005,0.008,NA,57,15.12,3.00,91.59,55.74,2.58
DICIEMBRE,10,0,0.015,0.005,0.008,NA,55,13.87,3.38,89.41,61.67,7.08
DICIEMBRE,10,1,0.017,0.005,0.006,NA,37,13.60,2.70,91.87,62.65,5.85
DICIEMBRE,10,2,0.015,0.005,0.005,NA,28,12.49,2.07,122.96,66.55,2.71
DICIEMBRE,10,3,0.012,0.005,0.005,NA,27,11.06,1.83,122.09,71.94,11.22
DICIEMBRE,10,4,0.013,0.005,0.005,NA,30,10.57,3.00,108.10,76.13,2.87
DICIEMBRE,10,5,0.013,0.005,0.005,NA,40,10.21,2.94,106.34,79.30,5.95
DICIEMBRE,10,6,0.004,0.005,0.009,NA,42,9.42,1.59,99.12,82.74,2.81
DICIEMBRE,10,7,0.018,0.005,0.009,NA,53,8.82,1.99,67.59,83.54,8.43
DICIEMBRE,10,8,0.011,0.005,0.009,NA,62,8.90,1.75,97.81,85.36,42.30
DICIEMBRE,10,9,0.009,0.006,0.009,NA,79,12.08,1.97,105.83,76.75,213.61
DICIEMBRE,10,10,0.017,0.005,0.007,NA,84,15.31,2.37,94.39,67.54,412.93
DICIEMBRE,10,11,0.025,0.005,0.006,NA,67,18.43,2.38,119.85,55.87,578.39
DICIEMBRE,10,12,0.038,0.018,0.006,NA,62,21.53,1.87,162.92,44.70,683.87
DICIEMBRE,10,13,0.054,0.024,0.007,NA,77,23.59,1.56,215.90,36.79,696.76
DICIEMBRE,10,14,0.063,0.007,0.006,NA,72,25.10,1.71,199.47,30.76,578.18
DICIEMBRE,10,15,0.070,0.009,0.005,NA,62,25.66,2.26,236.58,26.61,631.99
DICIEMBRE,10,16,0.070,0.008,0.004,NA,56,26.01,2.30,246.22,23.89,478.45
DICIEMBRE,10,17,0.069,0.007,0.005,NA,53,25.12,2.37,250.66,23.24,274.94
DICIEMBRE,10,18,0.063,0.007,0.008,NA,62,23.14,1.46,246.09,26.42,79.10
DICIEMBRE,10,19,0.022,0.006,0.027,NA,121,20.10,0.96,226.80,29.12,3.25
DICIEMBRE,10,20,0.013,0.007,0.029,NA,183,18.40,1.12,218.48,33.45,2.36
DICIEMBRE,10,21,0.011,0.008,0.030,NA,183,17.35,1.03,240.19,36.09,10.16
DICIEMBRE,10,22,0.012,0.007,0.028,NA,175,16.48,1.26,243.33,40.85,3.98
DICIEMBRE,10,23,0.020,0.006,0.021,NA,176,15.96,1.40,256.03,44.36,7.64
DICIEMBRE,11,0,0.031,0.005,0.011,NA,109,15.79,1.75,241.08,47.10,5.44
DICIEMBRE,11,1,0.021,0.005,0.016,NA,110,14.57,1.18,173.83,50.01,2.69
DICIEMBRE,11,2,0.019,0.006,0.016,NA,123,13.10,1.07,134.37,53.60,5.04
DICIEMBRE,11,3,0.014,0.005,0.017,NA,110,11.78,0.97,133.61,56.36,4.29
DICIEMBRE,11,4,0.011,0.005,0.016,NA,118,11.28,1.11,135.27,56.73,2.80
DICIEMBRE,11,5,0.008,0.005,0.017,NA,121,10.28,1.40,93.64,63.64,5.83
DICIEMBRE,11,6,0.007,0.005,0.016,NA,91,9.53,1.87,110.62,65.36,27.18
DICIEMBRE,11,7,0.006,0.005,0.015,NA,82,8.44,1.54,131.46,67.12,2.90
DICIEMBRE,11,8,0.008,0.005,0.015,NA,98,8.93,1.02,123.46,66.99,39.99
DICIEMBRE,11,9,0.015,0.006,0.013,NA,102,13.00,1.25,131.47,57.51,214.42
DICIEMBRE,11,10,0.028,0.009,0.013,NA,96,17.78,1.28,119.24,46.97,413.75
DICIEMBRE,11,11,0.046,0.009,0.010,NA,94,20.64,1.62,239.47,43.04,582.82
DICIEMBRE,11,12,0.060,0.006,0.006,NA,77,22.32,2.44,268.28,36.93,701.88
DICIEMBRE,11,13,0.069,0.006,0.005,NA,59,23.97,2.32,254.24,31.82,711.05
DICIEMBRE,11,14,0.068,0.006,0.005,NA,50,25.30,2.51,268.48,27.16,603.84
DICIEMBRE,11,15,0.067,0.005,0.003,NA,48,26.48,1.90,208.05,22.13,657.77
DICIEMBRE,11,16,0.062,0.005,0.004,NA,41,26.59,1.99,217.31,18.38,489.16
