DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
MAYO,9,9,0.030,0.004,0.019,1.45,58,25.665667,2.382358,261.583833,31.391717,451.651
MAYO,9,10,0.047,0.004,0.012,1.33,50,27.976767,2.744385,278.4605,25.854467,682.7365
MAYO,9,11,0.064,0.004,0.010,1.32,63,29.752117,2.76537,274.59,23.5173,873.026167
MAYO,9,12,0.073,0.004,0.008,1.32,102,31.36065,2.849315,255.647333,20.249683,1000.272667
MAYO,9,13,0.070,0.004,0.008,1.29,76,32.3449,3.129323,274.203833,15.831467,1060.268333
MAYO,9,14,0.076,0.004,0.007,1.24,43,33.265083,3.286882,268.119817,14.1133,1044.631667
MAYO,9,15,0.073,0.003,0.006,1.19,39,34.135583,3.146308,259.661917,12.39375,949.064667
MAYO,9,16,0.071,0.003,0.004,1.16,31,34.480617,3.29016,250.714667,11.199267,797.4855
MAYO,9,17,0.073,0.008,0.006,1.19,31,34.780917,2.58302,229.82775,10.827267,572.1635
MAYO,9,18,0.073,0.007,0.007,1.29,38,33.854867,2.272323,241.485267,11.161417,319.317
MAYO,9,19,0.067,0.005,0.010,1.40,51,32.024233,2.056268,250.219167,12.011583,93.487983
MAYO,9,20,0.046,0.004,0.024,1.71,74,29.841617,2.125562,263.140833,13.312283,70.458852
MAYO,9,21,0.027,0.004,0.034,2.03,95,28.689533,1.538587,226.989333,14.0895,45.028297
MAYO,9,22,0.049,0.004,0.008,1.37,127,27.631633,4.662145,156.716733,24.959867,5.872042
MAYO,9,23,0.053,0.004,0.005,1.27,74,27.337167,3.941418,136.7265,25.100483,23.61332
MAYO,10,0,0.050,0.003,0.004,1.15,52,25.679067,3.678365,163.688667,27.54945,17.066045
MAYO,10,1,0.049,0.003,0.005,1.13,30,24.123483,2.732238,154.45405,30.8278,26.13151
MAYO,10,2,0.044,0.003,0.007,1.16,30,22.788517,1.506167,184.268067,32.699383,2.200767
MAYO,10,3,0.032,0.005,0.014,1.17,33,23.189417,2.4464,248.089183,32.555767,14.776177
MAYO,10,4,0.032,0.007,0.013,1.18,42,22.783167,1.491245,243.8737,32.879,16.24472
MAYO,10,5,0.018,0.010,0.022,1.29,51,21.874933,1.57537,149.475367,34.78465,13.316388
MAYO,10,6,0.013,0.012,0.026,1.38,60,19.659617,1.30741,146.549017,40.295633,19.072733
MAYO,10,7,0.009,0.009,0.032,1.60,63,19.53245,0.961583,97.76155,42.7924,32.055913
MAYO,10,8,0.009,0.008,0.032,1.51,55,22.76,2.230067,128.4394,39.195417,221.79205
MAYO,10,9,0.031,0.016,0.020,1.36,90,26.014817,2.621847,121.480033,33.8095,458.007833
MAYO,10,10,0.053,0.010,0.013,1.34,81,28.21125,2.890993,102.805667,29.472583,695.556
MAYO,10,11,0.066,0.012,0.009,1.23,57,30.0997,2.742032,122.573683,23.704217,881.442667
MAYO,10,12,0.073,0.012,0.008,1.20,47,31.135433,3.0572,105.90915,19.627567,1022.750667
MAYO,10,13,0.078,0.009,0.008,1.22,53,32.390783,3.349317,100.844567,16.814983,1075.969667
MAYO,10,14,0.074,0.008,0.009,1.23,58,32.906883,5.031687,85.759867,13.023817,1072.936667
MAYO,10,15,0.076,0.013,0.009,1.15,44,33.909817,3.888725,101.95255,11.7569,968.2665
MAYO,10,16,0.070,0.005,0.006,1.13,39,34.3014,4.628627,108.322717,10.969267,715.112167
MAYO,10,17,0.070,0.007,0.009,1.21,51,33.693633,4.490292,100.279183,12.31285,517.924333
MAYO,10,18,0.067,0.008,0.009,1.23,38,33.0967,4.286065,91.902283,12.7502,279.314833
MAYO,10,19,0.056,0.009,0.010,1.22,60,31.020067,5.32658,83.676133,15.59065,55.279067
MAYO,10,20,0.033,0.039,0.022,1.22,85,28.762717,5.538752,81.277267,20.347217,3.790438
MAYO,10,21,0.019,0.115,0.030,1.19,110,27.2379,5.621192,78.542317,22.5289,15.452385
MAYO,10,22,0.039,0.049,0.013,1.16,110,25.739417,6.427357,85.670383,24.5253,19.41792
MAYO,10,23,0.047,0.009,0.004,1.16,175,24.285783,6.00734,101.9415,30.117733,11.417873
MAYO,11,0,0.045,0.006,0.004,1.15,139,22.65315,6.239918,99.196083,37.1997,31.246853
MAYO,11,1,0.040,0.011,0.008,1.12,62,21.562733,5.04981,87.103667,42.017567,9.375672
MAYO,11,2,0.035,0.007,0.011,1.14,43,20.843183,5.513465,82.883033,51.454983,12.043007
MAYO,11,3,0.025,0.019,0.016,1.14,54,20.110317,5.753207,67.03895,56.4978,24.301765
MAYO,11,4,0.028,0.023,0.014,1.14,47,19.600933,4.538797,84.8683,59.138183,17.233423
MAYO,11,5,0.031,0.013,0.007,1.15,31,18.93755,4.622265,89.17615,61.0447,5.755997
