DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
MAYO,13,14,0.0381,0.0077,1.322,15,24.83,5.09,74.49,41.96
MAYO,13,15,0.036,0.0075,1.336,14,24.48,5.03,67.88,42.41
MAYO,13,16,0.0359,0.0075,1.331,19,24.93,4.95,68.73,39.73
MAYO,13,17,0.0363,0.0075,1.326,19,25.1,5.04,73.74,37.92
MAYO,13,18,0.0349,0.0073,1.338,29,24.93,4.97,70.95,36.59
MAYO,13,19,0.0313,0.0106,1.334,28,23.21,5.58,57.48,44.64
MAYO,13,20,0.0256,0.0133,1.334,20,20.79,4.66,52.46,52.42
MAYO,13,21,0.023,0.0103,1.297,15,19.1,5.21,72.41,58.06
MAYO,13,22,0.022,0.0089,1.266,20,17.43,5.3,73.42,64.70
MAYO,13,23,0.0211,0.0084,1.242,14,16.44,4.99,75.51,68.69
MAYO,14,0,0.0217,0.0081,1.218,12,15.83,4.39,73.78,70.55
MAYO,14,1,0.0218,0.0076,1.21,6,15.44,4.46,66.41,71.71
MAYO,14,2,0.0209,0.0076,1.207,9,15,4.5,67.24,73.61
MAYO,14,3,0.0214,0.0079,1.205,9,14.9,3.96,77.86,73.59
MAYO,14,4,0.0207,0.0079,1.21,8,14.86,4.19,68.79,74.04
MAYO,14,5,0.0212,0.0088,1.229,7,15.06,3.74,72.47,72.70
MAYO,14,6,0.0162,0.0078,1.293,13,14.47,3.33,87.89,76.41
MAYO,14,7,0.0114,0.0073,1.479,19,14.89,2.73,99.71,77.46
MAYO,14,8,0.0127,0.007,1.41,41,18.13,3.45,95.53,66.32
MAYO,14,9,0.0203,0.0067,1.373,26,20.25,4.27,86.27,55.88
MAYO,14,10,0.0242,0.0061,1.336,19,21.7,4.62,92.29,50.11
MAYO,14,11,0.0264,0.0062,1.357,18,22.98,4.62,84.79,45.97
MAYO,14,12,0.0315,0.0058,1.319,17,24.73,3.53,105.6,39.94
MAYO,14,13,0.036,0.0059,1.328,21,25.56,3.32,103.47,36.32
MAYO,14,14,0.0404,0.0061,1.334,23,26.9,3.24,85.86,32.80
MAYO,14,15,0.0439,0.0058,1.278,25,28.05,2.47,145.83,30.91
MAYO,14,16,0.0465,0.0061,1.294,20,28.19,2.36,152.33,30.53
