DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2021,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
ENE,9,2,0.0126,0.0128,0.0169,76,33,0.0143
ENE,9,3,0.0186,0.0114,0.0163,65,33,0.0083
ENE,9,4,0.0173,0.0129,0.0158,55,25,0.0091
ENE,9,5,0.0154,0.0143,0.0156,55,21,0.0104
ENE,9,6,0.011,0.0147,0.0156,61,19,0.0138
ENE,9,7,0.0074,0.0135,0.0156,63,18,0.0173
ENE,9,8,0.004,0.0121,0.0163,73,18,0.021
ENE,9,9,0.0066,0.0116,0.0168,96,18,0.0187
ENE,9,10,0.0148,0.0119,0.0166,97,18,0.0155
ENE,9,11,0.024,0.0126,0.0163,82,17,0.0123
ENE,9,12,0.0302,0.0142,0.0162,69,17,0.0103
ENE,9,13,0.034,0.0165,0.0162,51,17,0.0069
ENE,9,14,0.0327,0.0192,0.0163,37,17,0.0043
ENE,9,15,0.0308,0.0221,0.0163,26,17,0.0046
ENE,9,16,0.0275,0.0251,0.0164,33,17,0.0069
